"country","year","iso_code","population","gdp","cement_co2","cement_co2_per_capita","co2","co2_growth_abs","co2_growth_prct","co2_including_luc","co2_including_luc_growth_abs","co2_including_luc_growth_prct","co2_including_luc_per_capita","co2_including_luc_per_gdp","co2_including_luc_per_unit_energy","co2_per_capita","co2_per_gdp","co2_per_unit_energy","coal_co2","coal_co2_per_capita","consumption_co2","consumption_co2_per_capita","consumption_co2_per_gdp","cumulative_cement_co2","cumulative_co2","cumulative_co2_including_luc","cumulative_coal_co2","cumulative_flaring_co2","cumulative_gas_co2","cumulative_luc_co2","cumulative_oil_co2","cumulative_other_co2","energy_per_capita","energy_per_gdp","flaring_co2","flaring_co2_per_capita","gas_co2","gas_co2_per_capita","ghg_excluding_lucf_per_capita","ghg_per_capita","land_use_change_co2","land_use_change_co2_per_capita","methane","methane_per_capita","nitrous_oxide","nitrous_oxide_per_capita","oil_co2","oil_co2_per_capita","other_co2_per_capita","other_industry_co2","primary_energy_consumption","share_global_cement_co2","share_global_co2","share_global_co2_including_luc","share_global_coal_co2","share_global_cumulative_cement_co2","share_global_cumulative_co2","share_global_cumulative_co2_including_luc","share_global_cumulative_coal_co2","share_global_cumulative_flaring_co2","share_global_cumulative_gas_co2","share_global_cumulative_luc_co2","share_global_cumulative_oil_co2","share_global_cumulative_other_co2","share_global_flaring_co2","share_global_gas_co2","share_global_luc_co2","share_global_oil_co2","share_global_other_co2","share_of_temperature_change_from_ghg","temperature_change_from_ch4","temperature_change_from_co2","temperature_change_from_ghg","temperature_change_from_n2o","total_ghg","total_ghg_excluding_lucf","trade_co2","trade_co2_share"
"Australia",1990,"AUS",17126301,464136601600,3.463,0.202,278.16,21.324,8.302,259.54,42.232,19.434,15.154,0.559,0.247,16.242,0.599,0.265,141.877,8.284,243.259,14.204,0.524,90.173,7469.591,17624.604,4606.968,9.797,374.299,10155.805,2386.038,2.316,61654.105,2.265,7.273,0.425,34.455,2.012,19.425,31.08,-18.62,-1.087,158.576,9.259,73.174,4.273,88.777,5.184,0.135,2.316,1051.079,0.7,1.224,0.937,1.63,0.734,0.923,1.209,1.052,0.12,0.473,1.556,0.886,0.124,2.81,0.905,-0.374,0.96,1.038,1.677,0.007,0.008,0.016,0.002,532.292,332.675,-34.901,-12.547
"Australia",1991,"AUS",17353191,461302104064,3.183,0.183,279.534,1.374,0.494,222.567,-36.973,-14.245,12.826,0.482,0.213,16.109,0.606,0.268,146.083,8.418,243.839,14.052,0.529,93.356,7749.125,17847.17,4753.051,16.799,407.085,10098.838,2474.215,4.62,60444.344,2.263,7.001,0.403,32.786,1.889,19.343,29.602,-56.967,-3.283,159.446,9.188,72.551,4.181,88.177,5.081,0.133,2.304,1043.94,0.626,1.206,0.79,1.695,0.73,0.931,1.202,1.064,0.199,0.491,1.535,0.887,0.222,2.555,0.848,-1.146,0.909,1.068,1.67,0.007,0.008,0.017,0.002,513.691,335.67,-35.695,-12.769
"Australia",1992,"AUS",17549282,478633754624,2.923,0.167,284.529,4.995,1.787,306.822,84.254,37.856,17.483,0.641,0.289,16.213,0.594,0.268,150.049,8.55,246.443,14.043,0.515,96.279,8033.654,18153.99,4903.1,24.103,441.055,10121.131,2562.064,7.053,60725.57,2.216,7.304,0.416,33.97,1.936,19.503,31.741,22.293,1.27,157.682,8.985,71.629,4.082,87.849,5.006,0.139,2.434,1060.42,0.552,1.263,1.104,1.784,0.723,0.94,1.2,1.077,0.277,0.507,1.526,0.889,0.308,3.021,0.866,0.424,0.954,1.126,1.662,0.007,0.008,0.017,0.002,557.035,342.268,-38.086,-13.386
"Australia",1993,"AUS",17722905,501524758528,3.005,0.17,288.874,4.345,1.527,331.081,24.259,7.907,18.681,0.66,0.305,16.299,0.576,0.266,150.096,8.469,247.364,13.957,0.493,99.284,8322.528,18485.072,5053.196,31.24,476.725,10163.337,2652.382,9.701,61505.934,2.162,7.137,0.403,35.67,2.013,19.56,31.973,42.207,2.381,155.667,8.783,71.312,4.024,90.318,5.096,0.149,2.648,1084.443,0.544,1.269,1.194,1.764,0.716,0.949,1.2,1.09,0.35,0.524,1.521,0.892,0.387,3.053,0.886,0.849,0.98,1.225,1.658,0.007,0.008,0.017,0.002,566.656,346.655,-41.51,-14.37
"Australia",1994,"AUS",17897430,527993241600,3.484,0.195,293.701,4.827,1.671,319.49,-11.591,-3.501,17.851,0.605,0.284,16.41,0.556,0.261,151.376,8.458,255.929,14.3,0.485,102.768,8616.229,18804.562,5204.572,38.12,513.757,10189.126,2744.236,12.776,63213.672,2.132,6.88,0.384,37.032,2.069,19.5,31.15,25.788,1.441,154.743,8.646,72.34,4.042,91.854,5.132,0.172,3.074,1125.551,0.591,1.277,1.106,1.768,0.711,0.957,1.198,1.102,0.412,0.541,1.512,0.895,0.469,2.186,0.912,0.438,0.993,1.421,1.651,0.007,0.008,0.017,0.002,557.506,348.997,-37.772,-12.861
"Australia",1995,"AUS",18095338,549038784512,3.358,0.186,305.056,11.355,3.866,494.442,174.953,54.76,27.324,0.901,0.428,16.858,0.556,0.264,155.735,8.606,261.694,14.462,0.477,106.126,8921.285,19299.004,5360.307,45.181,553.604,10378.513,2840.304,15.764,64117.02,2.102,7.061,0.39,39.847,2.202,20.066,35.682,189.387,10.466,154.361,8.53,70.983,3.923,96.068,5.309,0.165,2.988,1154.299,0.539,1.296,1.707,1.769,0.704,0.966,1.207,1.114,0.472,0.558,1.528,0.899,0.535,2.164,0.945,3.486,1.029,1.337,1.647,0.007,0.008,0.018,0.002,645.68,363.095,-43.362,-14.214
"Australia",1996,"AUS",18305299,574765662208,3.244,0.177,311.941,6.885,2.257,512.829,18.386,3.719,28.015,0.892,0.432,17.041,0.543,0.263,160.388,8.762,268.099,14.646,0.466,109.37,9233.226,19811.832,5520.695,51.942,593.385,10579.4,2938.968,18.866,65239.766,2.067,6.761,0.369,39.781,2.173,20.179,35.454,200.888,10.974,148.104,8.091,68.297,3.731,98.664,5.39,0.169,3.103,1188.137,0.51,1.286,1.694,1.777,0.696,0.974,1.216,1.127,0.524,0.573,1.544,0.902,0.595,1.93,0.903,3.341,1.026,1.397,1.639,0.007,0.009,0.018,0.002,649.001,369.376,-43.842,-14.055
"Australia",1997,"AUS",18504909,601472761856,3.185,0.172,320.333,8.392,2.69,455.836,-56.993,-11.113,24.633,0.758,0.374,17.311,0.533,0.263,167.683,9.062,275.706,14.899,0.458,112.554,9553.56,20267.67,5688.378,58.63,634.475,10714.904,3037.349,22.173,66120.109,2.024,6.688,0.361,41.09,2.22,20.468,34.022,135.503,7.323,149.195,8.062,67.682,3.658,98.381,5.316,0.179,3.307,1217.288,0.481,1.313,1.433,1.868,0.687,0.982,1.22,1.14,0.571,0.587,1.547,0.905,0.653,1.896,0.929,1.83,1.008,1.478,1.631,0.007,0.009,0.018,0.002,629.577,378.751,-44.627,-13.931
"Australia",1998,"AUS",18701707,634847035392,3.475,0.186,334.136,13.803,4.309,535.157,79.32,17.401,28.615,0.843,0.429,17.867,0.526,0.268,177.614,9.497,295.694,15.811,0.466,116.03,9887.694,20802.826,5865.992,65.532,677.981,10915.925,3136.491,25.669,67001.016,1.963,6.902,0.369,43.506,2.326,21.076,36.375,201.021,10.749,152.491,8.154,72.333,3.868,99.142,5.301,0.187,3.496,1246.33,0.527,1.375,1.758,2.033,0.681,0.992,1.23,1.155,0.618,0.603,1.562,0.908,0.71,2.051,0.974,3.272,1.003,1.585,1.63,0.007,0.009,0.018,0.002,680.273,394.15,-38.442,-11.505
"Australia",1999,"AUS",18909979,664520753152,3.52,0.186,343.959,9.824,2.94,493.981,-41.176,-7.694,26.123,0.743,0.381,18.189,0.518,0.265,183.231,9.69,296.784,15.695,0.447,119.55,10231.654,21296.809,6049.223,72.698,723.545,11065.947,3237.3,29.338,69004.562,1.952,7.165,0.379,45.564,2.41,21.386,36.839,150.022,7.933,168.302,8.9,88.458,4.678,100.809,5.331,0.194,3.669,1297.347,0.508,1.384,1.601,2.067,0.674,1.001,1.237,1.171,0.665,0.618,1.57,0.911,0.765,2.172,0.988,2.499,0.995,1.673,1.629,0.007,0.009,0.019,0.002,696.619,404.4,-47.176,-13.716
